Instancia,Tempo(s),Utilizacao,Recipientes,numeroDoTeste
base\CLASS05_100_09.json,1.84185,0.710553,30,3
base\CLASS05_100_09.json,2.66787,0.749842,29,4
base\CLASS05_100_09.json,5.67377,0.762898,29,5
base\CLASS05_100_09.json,1.75466,0.750411,29,6
base\CLASS05_100_09.json,3.92045,0.755177,29,7
base\CLASS05_100_09.json,1.52449,0.705818,30,8
base\CLASS05_100_09.json,2.82327,0.748747,29,9
base\CLASS05_100_09.json,2.14368,0.711897,30,10
base\CLASS05_100_09.json,5.13987,0.752521,29,11
base\CLASS05_100_09.json,3.74605,0.755317,29,12
base\CLASS05_100_09.json,1.92972,0.723658,30,13
base\CLASS05_100_09.json,3.44916,0.751215,29,14
base\CLASS05_100_09.json,2.63108,0.75046,29,15
base\CLASS05_100_09.json,1.65489,0.752908,29,16
base\CLASS05_100_09.json,1.68399,0.749043,29,17
base\CLASS05_100_09.json,1.80647,0.709851,30,18
base\CLASS05_100_09.json,3.86886,0.750848,29,19
base\CLASS05_100_09.json,1.12791,0.706166,30,20
base\CLASS05_100_09.json,3.15138,0.753466,29,21
base\CLASS05_100_09.json,3.85214,0.746974,29,22
base\CLASS05_100_09.json,4.2372,0.749216,29,23
base\CLASS05_100_09.json,1.77559,0.750096,29,24
base\CLASS05_100_09.json,3.94242,0.758011,29,25
base\CLASS05_100_09.json,1.4861,0.74652,29,26
base\CLASS05_100_09.json,2.03778,0.751592,29,27
base\CLASS05_100_09.json,3.47405,0.748907,29,28
base\CLASS05_100_09.json,2.50703,0.746062,29,29
base\CLASS07_020_01.json,0.140783,0.589063,6,0
base\CLASS07_020_01.json,0.167054,0.607459,6,1
base\CLASS07_020_01.json,0.156678,0.586762,6,2
base\CLASS07_020_01.json,0.13122,0.584831,6,3
base\CLASS07_020_01.json,0.115473,0.590071,6,4
base\CLASS07_020_01.json,0.119778,0.602762,6,5
base\CLASS07_020_01.json,0.0910539,0.60316,6,6
base\CLASS07_020_01.json,0.119369,0.589064,6,7
base\CLASS07_020_01.json,0.118479,0.587483,6,8
base\CLASS07_020_01.json,0.113365,0.608701,6,9
base\CLASS07_020_01.json,0.148891,0.587401,6,10
base\CLASS07_020_01.json,0.117599,0.606917,6,11
base\CLASS07_020_01.json,0.105413,0.58671,6,12
base\CLASS07_020_01.json,0.167257,0.5883,6,13
base\CLASS07_020_01.json,0.167989,0.586573,6,14
base\CLASS07_020_01.json,0.120338,0.587954,6,15
base\CLASS07_020_01.json,0.119059,0.773361,5,16
base\CLASS07_020_01.json,0.142368,0.587487,6,17
base\CLASS07_020_01.json,0.10761,0.586214,6,18
base\CLASS07_020_01.json,0.18318,0.605002,6,19
base\CLASS07_020_01.json,0.206784,0.58803,6,20
base\CLASS07_020_01.json,0.165973,0.605118,6,21
base\CLASS07_020_01.json,0.120044,0.60423,6,22
base\CLASS07_020_01.json,0.0980954,0.586541,6,23
base\CLASS07_020_01.json,0.177015,0.590128,6,24
base\CLASS07_020_01.json,0.144289,0.586917,6,25
base\CLASS07_020_01.json,0.104488,0.587514,6,26
base\CLASS07_020_01.json,0.104242,0.605969,6,27
base\CLASS07_020_01.json,0.116345,0.603715,6,28
base\CLASS07_020_01.json,0.187764,0.605615,6,29
base\CLASS07_020_03.json,0.106478,0.637963,5,0
base\CLASS07_020_03.json,0.210333,0.63585,5,1
base\CLASS07_020_03.json,0.0998159,0.63822,5,2
base\CLASS07_020_03.json,0.182787,0.632328,5,3
base\CLASS07_020_03.json,0.119957,0.63774,5,4
base\CLASS07_020_03.json,0.138688,0.635073,5,5
base\CLASS07_020_03.json,0.136374,0.6339,5,6
base\CLASS07_020_03.json,0.266324,0.641483,5,7
